model;cat;index;diff
FRA;7;33;2,6091106891716
FRA;7;34;2,54083606846154
FRA;7;35;2,59586960556213
FRA;7;36;2,55057674289941
FRA;7;37;2,54880630668639
FRA;8;1;3,40753360325444
FRA;8;2;3,14808150615385
FRA;8;3;3,28560481680473
FRA;8;4;3,3523602095858
FRA;8;5;3,76321480491124
FRA;8;6;3,26521093514793
FRA;8;7;3,28446002201183
FRA;8;8;2,60751400307692
FRA;8;9;3,42196006
FRA;8;10;2,77784534106509
FRA;8;11;2,61721358639053
FRA;8;12;3,39592462266272
FRA;8;13;3,22868166834319
FRA;8;14;3,50231048207101
FRA;8;15;3,41521186508876
FRA;8;16;3,13462020366864
FRA;8;17;2,85491887177515
FRA;8;18;3,53347104307692
FRA;8;19;3,46337361982249
FRA;8;20;3,46164822970414
FRA;8;21;3,42539867189349
FRA;8;22;3,25941445177515
FRA;8;23;2,35385118142012
FRA;8;24;3,01646975621302
FRA;8;25;2,88910387597633
FRA;8;26;2,55212039005917
FRA;8;27;2,36211285431953
FRA;8;28;2,45492007863905
FRA;8;29;2,39251232130178
FRA;8;30;2,7806541564497
FRA;8;31;3,69117476242604
FRA;8;32;2,5794601860355
FRA;8;33;2,40927972544379
FRA;8;34;2,3933038756213
FRA;8;35;2,46897912834319
FRA;8;36;2,38491962106509
FRA;8;37;2,31943806426036
FRA;9;1;3,53514566579882
FRA;9;2;3,51813583384615
FRA;9;3;3,59144900301775
FRA;9;4;3,59045365633136
FRA;9;5;3,80512969816568
FRA;9;6;3,51329493289941
FRA;9;7;3,54123438467456
FRA;9;8;3,42196006
FRA;9;9;3,12482664816568
FRA;9;10;3,0531731395858
FRA;9;11;2,91612899721893
FRA;9;12;3,71630265106509
FRA;9;13;3,54789811739645
FRA;9;14;3,75346509769231
FRA;9;15;3,56824032532544
FRA;9;16;3,50073869485207
FRA;9;17;3,18110346248521
FRA;9;18;3,78027350319527
FRA;9;19;3,6964552312426
FRA;9;20;3,77368020171598
FRA;9;21;3,67778808112426
FRA;9;22;3,5005703408284
FRA;9;23;2,79597731775148
FRA;9;24;3,36282580343195
FRA;9;25;3,25236690964497
FRA;9;26;2,94839969952663
FRA;9;27;2,72101080585799
FRA;9;28;2,9053507887574
FRA;9;29;2,84175265502959
FRA;9;30;3,09164920408284
FRA;9;31;3,81525826272189
FRA;9;32;2,96212124023669
FRA;9;33;2,81197878781065
FRA;9;34;2,79408953940828
FRA;9;35;2,84679292402367
FRA;9;36;2,77573253674556
FRA;9;37;2,73187428798817
FRA;10;1;3,12834072781065
FRA;10;2;2,83426455236686
FRA;10;3;2,89637322976331
FRA;10;4;3,01081155940828
FRA;10;5;3,43988291781065
FRA;10;6;2,82313918532544
FRA;10;7;2,88367930816568
FRA;10;8;2,77784534106509
FRA;10;9;3,0531731395858
